,Platform,Year,Total,Editor_choice_Yes,Editor_choice_No
0,PC,1970,0,0,0
1,PC,1996,1,0,1
2,PC,1997,0,0,0
3,PC,1998,112,15,97
4,PC,1999,243,43,200
5,PC,2000,266,58,208
6,PC,2001,225,43,182
7,PC,2002,191,52,139
8,PC,2003,203,57,146
9,PC,2004,196,35,161
10,PC,2005,147,39,108
11,PC,2006,175,25,150
12,PC,2007,157,30,127
13,PC,2008,264,30,234
14,PC,2009,191,32,159
15,PC,2010,136,38,98
16,PC,2011,168,46,122
17,PC,2012,147,45,102
18,PC,2013,180,29,151
19,PC,2014,156,22,134
20,PC,2015,118,23,95
21,PC,2016,94,17,77
22,PlayStation 2,1970,0,0,0
23,PlayStation 2,1996,0,0,0
24,PlayStation 2,1997,0,0,0
25,PlayStation 2,1998,0,0,0
26,PlayStation 2,1999,0,0,0
27,PlayStation 2,2000,45,8,37
28,PlayStation 2,2001,159,46,113
29,PlayStation 2,2002,231,48,183
30,PlayStation 2,2003,221,68,153
31,PlayStation 2,2004,232,55,177
32,PlayStation 2,2005,232,45,187
33,PlayStation 2,2006,210,30,180
34,PlayStation 2,2007,136,7,129
35,PlayStation 2,2008,156,5,151
36,PlayStation 2,2009,58,1,57
37,PlayStation 2,2010,6,1,5
38,PlayStation 2,2011,0,0,0
39,PlayStation 2,2012,0,0,0
40,PlayStation 2,2013,0,0,0
41,PlayStation 2,2014,0,0,0
42,PlayStation 2,2015,0,0,0
43,PlayStation 2,2016,0,0,0
44,Xbox 360,1970,1,0,1
45,Xbox 360,1996,0,0,0
46,Xbox 360,1997,0,0,0
47,Xbox 360,1998,0,0,0
48,Xbox 360,1999,0,0,0
49,Xbox 360,2000,0,0,0
50,Xbox 360,2001,0,0,0
51,Xbox 360,2002,0,0,0
52,Xbox 360,2003,0,0,0
53,Xbox 360,2004,1,0,1
54,Xbox 360,2005,29,4,25
55,Xbox 360,2006,100,17,83
56,Xbox 360,2007,193,38,155
57,Xbox 360,2008,247,53,194
58,Xbox 360,2009,272,56,216
59,Xbox 360,2010,248,63,185
60,Xbox 360,2011,213,59,154
61,Xbox 360,2012,170,47,123
62,Xbox 360,2013,104,18,86
63,Xbox 360,2014,50,11,39
64,Xbox 360,2015,3,0,3
65,Xbox 360,2016,0,0,0
66,Wii,1970,0,0,0
67,Wii,1996,0,0,0
68,Wii,1997,0,0,0
69,Wii,1998,0,0,0
70,Wii,1999,0,0,0
71,Wii,2000,0,0,0
72,Wii,2001,0,0,0
73,Wii,2002,0,0,0
74,Wii,2003,0,0,0
75,Wii,2004,0,0,0
76,Wii,2005,0,0,0
77,Wii,2006,49,8,41
78,Wii,2007,286,45,241
79,Wii,2008,373,45,328
80,Wii,2009,357,41,316
81,Wii,2010,192,26,166
82,Wii,2011,95,11,84
83,Wii,2012,11,3,8
