,Platforms,No. of Yes
0,PC,679
1,Xbox 360,366
2,PlayStation 3,342
3,PlayStation 2,314
4,Wireless,268
5,Xbox,212
6,Wii,179
7,iPhone,152
8,PlayStation,124
9,GameCube,110
10,Nintendo DS,100
11,Game Boy Advance,99
12,PlayStation Portable,77
13,PlayStation 4,62
14,Dreamcast,59
15,Xbox One,43
16,Nintendo 3DS,43
17,Nintendo 64,42
18,Macintosh,40
19,PlayStation Vita,35
20,Game Boy Color,32
21,iPad,30
22,Wii U,24
23,Nintendo DSi,23
24,NES,9
25,Super NES,9
26,N-Gage,8
27,Genesis,5
28,NeoGeo Pocket Color,4
29,Android,4
30,Master System,3
31,iPod,3
32,Linux,3
33,Saturn,2
34,TurboGrafx-16,2
35,Game Boy,2
36,Arcade,1
37,Nintendo 64DD,1
38,WonderSwan Color,1
39,TurboGrafx-CD,1
40,SteamOS,1
41,Pocket PC,1
42,NeoGeo,1
43,Windows Phone,1
